date,security,PX_LAST
2023-01-31,CNCPIYOY Index,2.1
2023-02-28,CNCPIYOY Index,1.0
2023-02-28,CPI YOY Index,6.0
2023-02-28,JNCPIYOY Index,3.3
2023-03-31,CNCPIYOY Index,0.7
2023-03-31,CPI YOY Index,5.0
2023-03-31,JNCPIYOY Index,3.2
2023-03-31,EHPIEU Index,8.0
2023-04-30,CPI YOY Index,4.9
2023-04-30,JNCPIYOY Index,3.5
2023-04-30,CNCPIYOY Index,0.1
2023-05-31,JNCPIYOY Index,3.2
2023-05-31,CNCPIYOY Index,0.2
2023-05-31,CPI YOY Index,4.0
2023-06-30,CNCPIYOY Index,0.0
2023-06-30,EHPIEU Index,6.2
2023-06-30,CPI YOY Index,3.0
2023-06-30,JNCPIYOY Index,3.3
2023-07-31,CNCPIYOY Index,-0.3
2023-07-31,CPI YOY Index,3.2
2023-07-31,JNCPIYOY Index,3.3
2023-08-31,CPI YOY Index,3.7
2023-08-31,JNCPIYOY Index,3.2
2023-08-31,CNCPIYOY Index,0.1
2023-09-30,CPI YOY Index,3.7
2023-09-30,CNCPIYOY Index,0.0
2023-09-30,EHPIEU Index,4.93
2023-09-30,JNCPIYOY Index,3.0
2023-10-31,JNCPIYOY Index,3.3
2023-10-31,CNCPIYOY Index,-0.2
2023-10-31,CPI YOY Index,3.2
2023-11-30,JNCPIYOY Index,2.8
2023-11-30,CNCPIYOY Index,-0.5
2023-11-30,CPI YOY Index,3.1
2023-12-31,CNCPIYOY Index,-0.3
2023-12-31,CPI YOY Index,3.4
2023-12-31,EHPIEU Index,2.73
2023-12-31,JNCPIYOY Index,2.6
2024-01-31,JNCPIYOY Index,2.2
2024-01-31,CNCPIYOY Index,-0.8
2024-01-31,CPI YOY Index,3.1
2024-02-29,CNCPIYOY Index,0.7
2024-02-29,CPI YOY Index,3.2
2024-02-29,JNCPIYOY Index,2.8
2024-03-31,JNCPIYOY Index,2.7
2024-03-31,CNCPIYOY Index,0.1
2024-03-31,EHPIEU Index,2.6
2024-03-31,CPI YOY Index,3.5
2024-04-30,CPI YOY Index,3.4
2024-04-30,JNCPIYOY Index,2.5
2024-04-30,CNCPIYOY Index,0.3
2024-05-31,JNCPIYOY Index,2.8
2024-05-31,CPI YOY Index,3.3
2024-05-31,CNCPIYOY Index,0.3
2024-06-30,JNCPIYOY Index,2.8
2024-06-30,CPI YOY Index,3.0
2024-06-30,CNCPIYOY Index,0.2
2024-06-30,EHPIEU Index,2.5
2024-07-31,CNCPIYOY Index,0.5
2024-07-31,JNCPIYOY Index,2.8
2024-07-31,CPI YOY Index,2.9
2024-08-31,CPI YOY Index,2.5
2024-08-31,CNCPIYOY Index,0.6
2024-08-31,JNCPIYOY Index,3.0
2024-09-30,CPI YOY Index,2.4
2024-09-30,EHPIEU Index,2.17
2024-09-30,CNCPIYOY Index,0.4
2024-09-30,JNCPIYOY Index,2.5
2024-10-31,JNCPIYOY Index,2.3
2024-10-31,CPI YOY Index,2.6
2024-10-31,CNCPIYOY Index,0.3
2024-11-30,CNCPIYOY Index,0.2
2024-11-30,JNCPIYOY Index,2.9
2024-11-30,CPI YOY Index,2.7
2024-12-31,CPI YOY Index,2.9
2024-12-31,EHPIEU Index,2.2
2024-12-31,CNCPIYOY Index,0.1
2024-12-31,JNCPIYOY Index,3.6
2025-01-31,JNCPIYOY Index,4.0
2025-01-31,CPI YOY Index,3.0
2025-01-31,CNCPIYOY Index,0.5
2025-02-28,JNCPIYOY Index,3.7
2025-02-28,CNCPIYOY Index,-0.7
2025-02-28,CPI YOY Index,2.8
2025-03-31,JNCPIYOY Index,3.6
2025-03-31,CPI YOY Index,2.4
2025-03-31,EHPIEU Index,2.33
2025-03-31,CNCPIYOY Index,-0.1
