date,security,PE_RATIO,BEST_PE_RATIO
2015-08-11,S5ENRS Index,17.8819,25.831
2015-08-11,S5INFT Index,18.1793,16.9476
2015-08-11,S5FINL Index,14.7741,14.8002
2015-08-11,S5HLTH Index,23.3787,18.648
2015-08-11,S5UTIL Index,16.5814,16.3309
2015-08-11,S5TELS Index,14.1458,13.3054
2015-08-11,S5COND Index,22.17,20.5929
2015-08-11,S5CONS Index,19.8876,20.5241
2015-08-11,S5INDU Index,16.4737,16.6592
2015-08-11,S5MATR Index,16.0496,16.8076
2015-08-12,S5FINL Index,14.655,14.6809
2015-08-12,S5ENRS Index,18.2139,26.3787
2015-08-12,S5TELS Index,14.055,13.2868
2015-08-12,S5UTIL Index,16.8435,16.5907
2015-08-12,S5MATR Index,16.089,16.8589
2015-08-12,S5CONS Index,19.8984,20.5376
2015-08-12,S5INFT Index,18.276,17.0725
2015-08-12,S5COND Index,22.0774,20.5083
2015-08-12,S5HLTH Index,23.3852,18.6594
2015-08-12,S5INDU Index,16.4712,16.6571
2015-08-13,S5UTIL Index,16.8332,16.5807
2015-08-13,S5INDU Index,16.4542,16.6394
2015-08-13,S5FINL Index,14.6999,14.7247
2015-08-13,S5ENRS Index,17.9687,26.04
2015-08-13,S5CONS Index,19.8211,20.4592
2015-08-13,S5INFT Index,18.232,17.0369
2015-08-13,S5MATR Index,16.0496,16.8188
2015-08-13,S5COND Index,22.2048,20.6526
2015-08-13,S5HLTH Index,23.3303,18.6194
2015-08-13,S5TELS Index,13.9771,13.3052
2015-08-14,S5TELS Index,14.017,13.3431
2015-08-14,S5COND Index,22.2307,20.6847
2015-08-14,S5FINL Index,14.8015,14.8226
2015-08-14,S5CONS Index,19.8791,20.5205
2015-08-14,S5INFT Index,18.3254,17.1292
2015-08-14,S5ENRS Index,17.9312,26.3562
2015-08-14,S5UTIL Index,16.962,16.7065
2015-08-14,S5INDU Index,16.5583,16.7457
2015-08-14,S5MATR Index,16.1211,16.9074
2015-08-14,S5HLTH Index,23.39,18.6658
2015-08-17,S5INFT Index,18.4327,17.2258
2015-08-17,S5FINL Index,14.8303,14.849
2015-08-17,S5CONS Index,19.8919,20.5342
2015-08-17,S5ENRS Index,17.9227,26.4113
2015-08-17,S5MATR Index,16.2191,16.9907
2015-08-17,S5HLTH Index,23.6308,18.8546
2015-08-17,S5UTIL Index,17.04,16.7748
2015-08-17,S5TELS Index,14.0716,13.4034
2015-08-17,S5COND Index,22.4456,20.8809
2015-08-17,S5INDU Index,16.6349,16.8253
2015-08-18,S5ENRS Index,17.8511,26.303
2015-08-18,S5MATR Index,16.1076,16.8725
2015-08-18,S5COND Index,22.4676,20.9007
2015-08-18,S5HLTH Index,23.5975,18.8292
2015-08-18,S5FINL Index,14.8168,14.8244
2015-08-18,S5CONS Index,19.7917,20.4733
2015-08-18,S5UTIL Index,16.9929,16.7268
2015-08-18,S5INFT Index,18.3249,17.1267
2015-08-18,S5INDU Index,16.608,16.7985
2015-08-18,S5TELS Index,14.0707,13.4106
2015-08-19,S5FINL Index,14.689,14.6955
2015-08-19,S5COND Index,22.415,20.8471
2015-08-19,S5TELS Index,14.0716,13.4181
2015-08-19,S5UTIL Index,17.065,16.7985
2015-08-19,S5HLTH Index,23.4962,18.7466
2015-08-19,S5INFT Index,18.1684,16.9812
2015-08-19,S5CONS Index,19.5926,20.2976
2015-08-19,S5ENRS Index,17.3536,25.5734
2015-08-19,S5INDU Index,16.4476,16.6332
2015-08-19,S5MATR Index,15.9083,16.6637
2015-08-20,S5INFT Index,17.7218,16.5912
2015-08-20,S5UTIL Index,16.9642,16.6986
2015-08-20,S5FINL Index,14.3759,14.3785
2015-08-20,S5CONS Index,19.4279,20.1266
2015-08-20,S5TELS Index,13.8873,13.2422
2015-08-20,S5COND Index,21.7878,20.2817
2015-08-20,S5INDU Index,16.1001,16.2821
2015-08-20,S5ENRS Index,16.9706,24.9868
2015-08-20,S5HLTH Index,22.9575,18.3198
2015-08-20,S5MATR Index,15.6246,16.3693
2015-08-21,S5CONS Index,18.9214,19.6039
2015-08-21,S5UTIL Index,16.7588,16.4951
2015-08-21,S5COND Index,21.071,19.6038
2015-08-21,S5ENRS Index,16.3806,24.2291
2015-08-21,S5FINL Index,13.9276,13.9279
2015-08-21,S5TELS Index,13.6482,13.0143
2015-08-21,S5INFT Index,16.9749,15.8957
2015-08-21,S5INDU Index,15.6594,15.8413
2015-08-21,S5MATR Index,15.2389,15.9647
2015-08-21,S5HLTH Index,22.2324,17.7377
2015-08-24,S5UTIL Index,16.1354,15.9096
2015-08-24,S5INDU Index,15.136,15.3333
2015-08-24,S5CONS Index,18.2865,18.9461
2015-08-24,S5MATR Index,14.6005,15.3206
2015-08-24,S5HLTH Index,21.3505,17.0333
2015-08-24,S5COND Index,20.2248,18.8165
2015-08-24,S5INFT Index,16.3873,15.346
2015-08-24,S5TELS Index,13.2257,12.6114
2015-08-24,S5ENRS Index,15.5327,23.1645
2015-08-24,S5FINL Index,13.2622,13.2706
2015-08-25,S5INDU Index,14.8926,15.0841
2015-08-25,S5HLTH Index,21.0484,16.7825
2015-08-25,S5INFT Index,16.193,15.1637
2015-08-25,S5ENRS Index,15.3215,22.8532
2015-08-25,S5FINL Index,13.0434,13.0496
2015-08-25,S5CONS Index,18.082,18.741
2015-08-25,S5UTIL Index,15.6253,15.4062
2015-08-25,S5MATR Index,14.3381,15.0568
2015-08-25,S5COND Index,20.1447,18.7316
2015-08-25,S5TELS Index,12.9293,12.3287
2015-08-26,S5FINL Index,13.5437,13.5556
2015-08-26,S5COND Index,20.9206,19.4413
2015-08-26,S5INDU Index,15.3521,15.551
2015-08-26,S5TELS Index,13.3508,12.7307
2015-08-26,S5HLTH Index,21.9493,17.4999
2015-08-26,S5MATR Index,14.7424,15.4938
2015-08-26,S5UTIL Index,15.8873,15.6621
2015-08-26,S5ENRS Index,15.8583,23.6493
2015-08-26,S5INFT Index,17.0478,15.9842
2015-08-26,S5CONS Index,18.6322,19.3118
2015-08-27,S5INFT Index,17.4575,16.37
2015-08-27,S5MATR Index,15.2766,16.0601
2015-08-27,S5CONS Index,18.9017,19.5863
2015-08-27,S5INDU Index,15.7187,15.9245
2015-08-27,S5HLTH Index,22.3702,17.8344
2015-08-27,S5COND Index,21.4127,19.9024
2015-08-27,S5ENRS Index,16.6371,24.8356
2015-08-27,S5UTIL Index,16.0787,15.8508
2015-08-27,S5TELS Index,13.6529,13.0187
2015-08-27,S5FINL Index,13.8998,13.9044
2015-08-28,S5HLTH Index,22.2772,17.7593
2015-08-28,S5UTIL Index,16.0308,15.8035
2015-08-28,S5TELS Index,13.6158,12.9828
2015-08-28,S5FINL Index,13.8471,13.8537
2015-08-28,S5INFT Index,17.4991,16.4118
2015-08-28,S5COND Index,21.4175,19.9103
2015-08-28,S5ENRS Index,16.9784,25.3439
2015-08-28,S5CONS Index,18.8607,19.5448
2015-08-28,S5MATR Index,15.3718,16.1831
2015-08-28,S5INDU Index,15.7392,15.9458
2015-08-31,S5CONS Index,18.725,19.4077
2015-08-31,S5ENRS Index,17.1573,25.8806
2015-08-31,S5HLTH Index,21.8655,17.4313
2015-08-31,S5INFT Index,17.3439,16.2815
2015-08-31,S5TELS Index,13.5834,12.9519
2015-08-31,S5INDU Index,15.5936,15.7474
2015-08-31,S5FINL Index,13.7429,13.7497
2015-08-31,S5MATR Index,15.2901,16.1415
2015-08-31,S5COND Index,21.2605,19.7723
2015-08-31,S5UTIL Index,15.7725,15.5385
2015-09-01,S5INFT Index,16.7625,15.7358
2015-09-01,S5UTIL Index,15.3507,15.1066
2015-09-01,S5CONS Index,18.3283,18.9962
2015-09-01,S5FINL Index,13.263,13.2684
2015-09-01,S5ENRS Index,16.5298,24.6293
2015-09-01,S5TELS Index,13.2313,12.6136
2015-09-01,S5HLTH Index,21.2898,16.9694
2015-09-01,S5INDU Index,15.1832,15.3335
2015-09-01,S5MATR Index,14.8054,15.5738
2015-09-01,S5COND Index,20.2814,19.2572
2015-09-02,S5INDU Index,15.5144,15.675
2015-09-02,S5INFT Index,17.2022,16.1492
2015-09-02,S5FINL Index,13.4566,13.4551
2015-09-02,S5MATR Index,15.0182,15.8178
2015-09-02,S5CONS Index,18.5684,19.2449
2015-09-02,S5TELS Index,13.4314,12.8043
2015-09-02,S5COND Index,20.707,19.6739
2015-09-02,S5HLTH Index,21.7104,17.3073
2015-09-02,S5ENRS Index,16.6821,24.842
2015-09-02,S5UTIL Index,15.3522,15.1074
2015-09-03,S5INDU Index,15.5277,15.3153
2015-09-03,S5FINL Index,13.5189,13.5162
2015-09-03,S5HLTH Index,21.0678,17.2165
2015-09-03,S5ENRS Index,16.7371,25.1599
2015-09-03,S5COND Index,20.7217,19.6842
2015-09-03,S5TELS Index,13.5352,12.9042
2015-09-03,S5INFT Index,17.1838,16.1304
2015-09-03,S5CONS Index,18.6967,19.3783
2015-09-03,S5UTIL Index,15.4317,15.1856
2015-09-03,S5MATR Index,15.1106,15.9272
2015-09-04,S5HLTH Index,20.7917,16.9843
2015-09-04,S5COND Index,20.4908,19.4647
2015-09-04,S5INFT Index,16.9291,15.8914
2015-09-04,S5UTIL Index,15.2006,14.9575
2015-09-04,S5CONS Index,18.3893,19.0608
2015-09-04,S5MATR Index,14.8043,15.6062
